item_id,catId,director,characteristic,attack_img_url,defence_img_url,tactic_settings_img_url
"53","5","UnLMTD동현","적극적인 풀백 활용","http://cdn.gamemeca.com/gm_etc/000/000/53/ud1127_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/53/ud1127_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/53/ud1127_ma.jpg"
"50","5","VIsualF","피파온라인3 순위경기 1위","http://cdn.gamemeca.com/gm_etc/000/000/50/vf1115_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/50/vf1115_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/50/vf1115_ma.jpg"
"46","5","ExodusFaker","크로스 + 삼각 패스","http://cdn.gamemeca.com/gm_etc/000/000/46/foef1105_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/46/foef1105_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/46/foef1105_ma.jpg"
"45","5","90min깡","세밀함이 강조된 4-1-1-4","http://cdn.gamemeca.com/gm_etc/000/000/45/901105_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/45/901105_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/45/901105_ma.jpg"
"44","5","Azrael양학","다양한 공격 루트","http://cdn.gamemeca.com/gm_etc/000/000/44/azya1104_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/44/azya1104_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/44/azya1104_ma.jpg"
"43","5","Azrael양갱","유기적인 공격","http://cdn.gamemeca.com/gm_etc/000/000/43/ay1104_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/43/ay1104_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/43/ay1104_ma.jpg"
"42","5","GET도코","중앙 미드필더들의 공격 참여","http://cdn.gamemeca.com/gm_etc/000/000/42/get1104_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/42/get1104_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/42/get1104_ma.jpg"
"41","5","Exodus사키","상대에 따른 맞춤 공격 가능","http://cdn.gamemeca.com/gm_etc/000/000/41/es1103_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/41/es1103_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/41/es1103_ma.jpg"
"40","5","동헌YaKuJa","공격에 특화된 변형 4-1-1-4","http://cdn.gamemeca.com/gm_etc/000/000/40/dy1103_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/40/dy1103_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/40/dy1103_ma.jpg"
"38","5","Azrael장철준","바르셀로나식 티키타카","http://cdn.gamemeca.com/gm_etc/000/000/38/fo3azj1031_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/38/fo3azj1031_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/38/fo3azj1031_ma.jpg"
"37","5","Azrael리듬","강력한 측면 공격","http://cdn.gamemeca.com/gm_etc/000/000/37/fo3azr1031_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/37/fo3azr1031_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/37/fo3azr1031_ma.jpg"
"33","5","itsAura","국민 포메이션","http://cdn.gamemeca.com/gm_etc/000/000/33/fo3au_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/33/fo3au_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/33/fo3au_ma.jpg"
"24","5","Exodus서곡신","4-1-1-4의 원조","http://cdn.gamemeca.com/gm_etc/000/000/24/0916_s4.jpg","http://cdn.gamemeca.com/gm_etc/000/000/24/0916_s5.jpg","http://cdn.gamemeca.com/gm_etc/000/000/24/0916_s6.jpg"
"22","5","Exodus진수","중앙돌파+크로스","http://cdn.gamemeca.com/gm_etc/000/000/22/0915_s1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/22/0915_s2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/22/0915_s3.jpg"
"21","5","SANAI라울","변형 4-1-1-4","http://cdn.gamemeca.com/gm_etc/000/000/21/s1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/21/s2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/21/s3.jpg"
"17","5","GloriFy카니자","CM/CDM이 핵심","http://cdn.gamemeca.com/gm_etc/000/000/17/j1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/17/j2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/17/j3.jpg"
"16","5","ConDon","정면크로스와 라보나페이크","http://cdn.gamemeca.com/gm_etc/000/000/16/i1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/16/i2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/16/i3.jpg"
"13","5","Lucia드록신","중앙돌파 특화","http://cdn.gamemeca.com/gm_etc/000/000/13/f1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/13/f2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/13/f3.jpg"
"7","5","UEFA이정호","55연승 포메이션","http://cdn.gamemeca.com/gm_etc/000/000/07/ss4.jpg","http://cdn.gamemeca.com/gm_etc/000/000/07/ss5.jpg","http://cdn.gamemeca.com/gm_etc/000/000/07/ss6.jpg"
